,timestamp,symbol,vwap,delayed_trade_date
95,2022-08-10 14:00:00,OPTN,3.5142,2022-08-10 00:00:00
104,2022-08-10 14:00:00,WEAT,8.35842,2022-08-10 00:00:00
116,2022-08-10 14:00:00,LYRA,6.495557,2022-08-10 00:00:00
94,2022-08-10 14:00:00,AMZN,141.939551,2022-08-10 00:00:00
140,2022-08-10 14:00:00,APPS,23.425248,2022-08-10 00:00:00
138,2022-08-10 14:00:00,ROKU,78.456541,2022-08-10 00:00:00
137,2022-08-10 14:00:00,MGTA,1.627232,2022-08-10 00:00:00
136,2022-08-10 14:00:00,CAR,187.798943,2022-08-10 00:00:00
135,2022-08-10 14:00:00,GOCO,0.60067,2022-08-10 00:00:00
134,2022-08-10 14:00:00,SAL,23.382917,2022-08-10 00:00:00
133,2022-08-10 14:00:00,ONVO,3.303234,2022-08-10 00:00:00
117,2022-08-10 14:00:00,GHSI,0.145299,2022-08-10 00:00:00
131,2022-08-10 14:00:00,AXLA,2.322742,2022-08-10 00:00:00
130,2022-08-10 14:00:00,PRAX,4.562804,2022-08-10 00:00:00
129,2022-08-10 14:00:00,ENDP,0.388465,2022-08-10 00:00:00
132,2022-08-10 14:00:00,UUP,28.055746,2022-08-10 00:00:00
127,2022-08-10 14:00:00,CORN,25.170035,2022-08-10 00:00:00
128,2022-08-10 14:00:00,LOGC,0.618263,2022-08-10 00:00:00
119,2022-08-10 14:00:00,MSFT,288.226028,2022-08-10 00:00:00
120,2022-08-10 14:00:00,TNXP,1.417184,2022-08-10 00:00:00
121,2022-08-10 14:00:00,F,15.373101,2022-08-10 00:00:00
118,2022-08-10 14:00:00,CSBR,9.674141,2022-08-10 00:00:00
123,2022-08-10 14:00:00,AAPL,167.651665,2022-08-10 00:00:00
124,2022-08-10 14:00:00,PUBM,22.146477,2022-08-10 00:00:00
125,2022-08-10 14:00:00,REFR,2.02528,2022-08-10 00:00:00
126,2022-08-10 14:00:00,UUUU,6.843574,2022-08-10 00:00:00
122,2022-08-10 14:00:00,RUBY,0.78596,2022-08-10 00:00:00
255,2022-08-10 15:00:00,OPEN,6.003336,2022-08-10 00:00:00
254,2022-08-10 15:00:00,STIM,4.427978,2022-08-10 00:00:00
253,2022-08-10 15:00:00,ALNA,0.127696,2022-08-10 00:00:00
252,2022-08-10 15:00:00,EHTH,7.790168,2022-08-10 00:00:00
251,2022-08-10 15:00:00,EIGR,9.207408,2022-08-10 00:00:00
250,2022-08-10 15:00:00,NFLX,241.568718,2022-08-10 00:00:00
249,2022-08-10 15:00:00,CAPR,4.490856,2022-08-10 00:00:00
248,2022-08-10 15:00:00,MELI,1053.61054,2022-08-10 00:00:00
247,2022-08-10 15:00:00,EYES,1.99506,2022-08-10 00:00:00
236,2022-08-10 15:00:00,SNGX,0.856759,2022-08-10 00:00:00
245,2022-08-10 15:00:00,BTCUSD,0.0,2022-08-10 00:00:00
244,2022-08-10 15:00:00,META,179.196375,2022-08-10 00:00:00
243,2022-08-10 15:00:00,INTU,477.363275,2022-08-10 00:00:00
242,2022-08-10 15:00:00,CFRX,0.280021,2022-08-10 00:00:00
241,2022-08-10 15:00:00,UPST,31.071232,2022-08-10 00:00:00
240,2022-08-10 15:00:00,OKTA,107.187186,2022-08-10 00:00:00
239,2022-08-10 15:00:00,CDK,0.0,2022-08-10 00:00:00
238,2022-08-10 15:00:00,MBCN,27.471555,2022-08-10 00:00:00
237,2022-08-10 15:00:00,AAP,195.048169,2022-08-10 00:00:00
256,2022-08-10 15:00:00,LTRPB,26.472802,2022-08-10 00:00:00
246,2022-08-10 15:00:00,LWAY,5.74,2022-08-10 00:00:00
257,2022-08-10 15:00:00,AMD,97.966033,2022-08-10 00:00:00
281,2022-08-10 15:00:00,KIRK,3.202825,2022-08-10 00:00:00
259,2022-08-10 15:00:00,PLRX,21.271732,2022-08-10 00:00:00
235,2022-08-10 15:00:00,TTD,73.52661,2022-08-10 00:00:00
280,2022-08-10 15:00:00,PRCH,2.985319,2022-08-10 00:00:00
279,2022-08-10 15:00:00,EAR,1.004814,2022-08-10 00:00:00
278,2022-08-10 15:00:00,BTCUSDT,24021.925072,2022-08-10 00:00:00
277,2022-08-10 15:00:00,NVDA,177.932259,2022-08-10 00:00:00
276,2022-08-10 15:00:00,DOCU,75.18296,2022-08-10 00:00:00
275,2022-08-10 15:00:00,MANT,95.708861,2022-08-10 00:00:00
274,2022-08-10 15:00:00,ZM,111.222978,2022-08-10 00:00:00
273,2022-08-10 15:00:00,TSLA,870.926243,2022-08-10 00:00:00
272,2022-08-10 15:00:00,BIOL,5.269626,2022-08-10 00:00:00
271,2022-08-10 15:00:00,ETSY,115.115915,2022-08-10 00:00:00
270,2022-08-10 15:00:00,HYRE,0.964204,2022-08-10 00:00:00
268,2022-08-10 15:00:00,INZY,3.49902,2022-08-10 00:00:00
267,2022-08-10 15:00:00,DBVT,2.713856,2022-08-10 00:00:00
266,2022-08-10 15:00:00,FTNT,54.027668,2022-08-10 00:00:00
265,2022-08-10 15:00:00,PLBC,32.84,2022-08-10 00:00:00
264,2022-08-10 15:00:00,ECOR,0.652401,2022-08-10 00:00:00
263,2022-08-10 15:00:00,AAL,15.291147,2022-08-10 00:00:00
262,2022-08-10 15:00:00,ADTX,0.161977,2022-08-10 00:00:00
261,2022-08-10 15:00:00,GNLN,3.380226,2022-08-10 00:00:00
260,2022-08-10 15:00:00,COGT,13.874281,2022-08-10 00:00:00
258,2022-08-10 15:00:00,OILK,47.472909,2022-08-10 00:00:00
269,2022-08-10 15:00:00,REAL,2.952056,2022-08-10 00:00:00
234,2022-08-10 15:00:00,APPS,23.555412,2022-08-10 00:00:00
232,2022-08-10 15:00:00,ROKU,80.523728,2022-08-10 00:00:00
207,2022-08-10 15:00:00,LHCG,163.165851,2022-08-10 00:00:00
206,2022-08-10 15:00:00,FTMUSD,0.0,2022-08-10 00:00:00
205,2022-08-10 15:00:00,RYTM,22.462096,2022-08-10 00:00:00
204,2022-08-10 15:00:00,CREX,0.653982,2022-08-10 00:00:00
203,2022-08-10 15:00:00,BIMI,0.561498,2022-08-10 00:00:00
202,2022-08-10 15:00:00,ALRN,0.18632,2022-08-10 00:00:00
201,2022-08-10 15:00:00,CDLX,15.975218,2022-08-10 00:00:00
200,2022-08-10 15:00:00,ADVM,1.508344,2022-08-10 00:00:00
198,2022-08-10 15:00:00,WEAT,8.350855,2022-08-10 00:00:00
208,2022-08-10 15:00:00,FANG,125.851063,2022-08-10 00:00:00
197,2022-08-10 15:00:00,AVGO,546.384441,2022-08-10 00:00:00
195,2022-08-10 15:00:00,AGLE,0.421836,2022-08-10 00:00:00
194,2022-08-10 15:00:00,TTOO,0.144188,2022-08-10 00:00:00
193,2022-08-10 15:00:00,TTNP,1.310779,2022-08-10 00:00:00
192,2022-08-10 15:00:00,OEG,0.0,2022-08-10 00:00:00
191,2022-08-10 15:00:00,CRWD,198.646654,2022-08-10 00:00:00
190,2022-08-10 15:00:00,VRM,1.643682,2022-08-10 00:00:00
189,2022-08-10 15:00:00,OPTN,3.582629,2022-08-10 00:00:00
188,2022-08-10 15:00:00,AMZN,142.52454,2022-08-10 00:00:00
233,2022-08-10 15:00:00,PTON,11.88945,2022-08-10 00:00:00
196,2022-08-10 15:00:00,VERU,11.536408,2022-08-10 00:00:00
209,2022-08-10 15:00:00,IDRA,0.460396,2022-08-10 00:00:00
199,2022-08-10 15:00:00,BDSX,2.659444,2022-08-10 00:00:00
211,2022-08-10 15:00:00,GHSI,0.148675,2022-08-10 00:00:00
210,2022-08-10 15:00:00,LYRA,6.52191,2022-08-10 00:00:00
230,2022-08-10 15:00:00,CAR,189.451792,2022-08-10 00:00:00
229,2022-08-10 15:00:00,GOCO,0.604297,2022-08-10 00:00:00
228,2022-08-10 15:00:00,SAL,23.382917,2022-08-10 00:00:00
227,2022-08-10 15:00:00,ONVO,3.305713,2022-08-10 00:00:00
226,2022-08-10 15:00:00,UUP,28.02282,2022-08-10 00:00:00
225,2022-08-10 15:00:00,AXLA,2.311558,2022-08-10 00:00:00
224,2022-08-10 15:00:00,PRAX,4.649198,2022-08-10 00:00:00
223,2022-08-10 15:00:00,ENDP,0.398738,2022-08-10 00:00:00
222,2022-08-10 15:00:00,LOGC,0.610993,2022-08-10 00:00:00
231,2022-08-10 15:00:00,MGTA,1.628978,2022-08-10 00:00:00
220,2022-08-10 15:00:00,UUUU,6.87457,2022-08-10 00:00:00
221,2022-08-10 15:00:00,CORN,25.289037,2022-08-10 00:00:00
