,symbol,size,date_time_unix,date_time_utc,date_time_utc_full_hour
3,QQQ,-0.35,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
4,NFLX,0.02,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
5,CRM,0.015,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
6,GNOM,0.04,1643120335,2022-01-25 09:18:55+00:00,2022-01-25 10:00:00+00:00
0,TSM,0.02,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
1,GOOGL,0,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
2,ZD,0,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
3,CME,0.02,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
4,IIVI,0.015,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
5,FWONK,0.015,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
6,SSNC,0,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
7,TSLA,0.01,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
8,CIEN,0.01,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
9,MLM,0.01,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
10,APPN,0.01,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
11,SE,0.01,1643120583,2022-01-25 09:23:03+00:00,2022-01-25 10:00:00+00:00
0,FUBO,0.02,1643124445,2022-01-25 10:27:25+00:00,2022-01-25 11:00:00+00:00
0,SBSW,0.03,1643127971,2022-01-25 11:26:11+00:00,2022-01-25 12:00:00+00:00
0,NFLX,0,1643730810,2022-02-01 10:53:30+00:00,2022-02-01 11:00:00+00:00
0,CCI,0,1643749208,2022-02-01 16:00:08+00:00,2022-02-01 17:00:00+00:00
0,BLDR,0.03,1643749807,2022-02-01 16:10:07+00:00,2022-02-01 17:00:00+00:00
0,SWIM,0.02,1643752207,2022-02-01 16:50:07+00:00,2022-02-01 17:00:00+00:00
0,THRM,0.02,1643752807,2022-02-01 17:00:07+00:00,2022-02-01 18:00:00+00:00
1,ONEW,0.02,1643752807,2022-02-01 17:00:07+00:00,2022-02-01 18:00:00+00:00
0,V,0.03,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
1,MSFT,0.03,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
2,GOOG,0.03,1643757606,2022-02-01 18:20:06+00:00,2022-02-01 19:00:00+00:00
